# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Cape Coral,FL,26.5629,-81.9495,165831
Cape Girardeau,MO,37.3059,-89.5181,38816
Carlsbad,CA,33.1581,-117.3506,110972
Carmel,IN,39.9784,-86.118,85927
Carol Stream,IL,41.9125,-88.1348,40379
Carpentersville,IL,42.1211,-88.2579,38241
Carrollton,TX,32.9756,-96.89,126700
Carson,CA,33.8317,-118.2817,92599
Carson City,NV,39.1638,-119.7674,54080
Cary,NC,35.7915,-78.7811,151088
Casa Grande,AZ,32.8795,-111.7574,50111
Casper,WY,42.8666,-106.3131,59628
Castle Rock,CO,39.3722,-104.8561,53063
Cathedral City,CA,33.7805,-116.4668,52977
Cedar Falls,IA,42.5349,-92.4453,40566
Cedar Hill,TX,32.5885,-96.9561,46663
Cedar Park,TX,30.5052,-97.8203,61238
Cedar Rapids,IA,41.9779,-91.6656,128429
Centennial,CO,39.5807,-104.8772,106114
Ceres,CA,37.5949,-120.9577,46714
Cerritos,CA,33.8583,-118.0648,49707
Champaign,IL,40.1164,-88.2434,83424
Chandler,AZ,33.3062,-111.8413,249146
Chapel Hill,NC,35.9132,-79.0558,59635
Charleston,SC,32.7765,-79.9311,127999
Charleston,WV,38.3498,-81.6326,50821
Charlotte,NC,35.2271,-80.8431,792862
Charlottesville,VA,38.0293,-78.4767,44349
Chattanooga,TN,35.0456,-85.3097,173366
Chelsea,MA,42.3918,-71.0328,37670
Chesapeake,VA,36.7682,-76.2875,230571
Chesterfield,MO,38.6631,-90.5771,47749
Cheyenne,WY,41.14,-104.8202,62448
Chicago,IL,41.8781,-87.6298,2718782
Chico,CA,39.7285,-121.8375,88077
Chicopee,MA,42.1487,-72.6079,55717
Chino,CA,34.0122,-117.6889,80988
Chino Hills,CA,33.9898,-117.7326,76572
Chula Vista,CA,32.6401,-117.0842,256780
Cicero,IL,41.8456,-87.7539,84103
Cincinnati,OH,39.1031,-84.512,297517
Citrus Heights,CA,38.7071,-121.2811,85285
Clarksville,TN,36.5298,-87.3595,142357
Clearwater,FL,27.9659,-82.8001,109703
Cleveland,OH,41.4993,-81.6944,390113
Cleveland,TN,35.1595,-84.8766,42774
Cleveland Heights,OH,41.5201,-81.5562,45394
Clifton,NJ,40.8584,-74.1638,85390
Clovis,CA,36.8252,-119.7029,99769
Clovis,NM,34.4048,-103.2052,39508
Coachella,CA,33.6803,-116.1739,43092
Coconut Creek,FL,26.2517,-80.1789,56792
Coeur d'Alene,ID,47.6777,-116.7805,46402
College Station,TX,30.628,-96.3344,100050
Collierville,TN,35.042,-89.6645,47333
Colorado Springs,CO,38.8339,-104.8214,439886
Colton,CA,34.0739,-117.3137,53243
Columbia,MO,38.9517,-92.3341,115276
Columbia,SC,34.0007,-81.0348,133358
Columbus,GA,32.461,-84.9877,202824
Columbus,IN,39.2014,-85.9214,45775
Columbus,OH,39.9612,-82.9988,822553
Commerce City,CO,39.8083,-104.9339,49799
Compton,CA,33.8958,-118.2201,97877
Concord,CA,37.978,-122.0311,125880
Concord,NC,35.4088,-80.5795,83506
Concord,NH,43.2081,-71.5376,42419
Conroe,TX,30.3119,-95.4561,63032
Conway,AR,35.0887,-92.4421,63816
Coon Rapids,MN,45.1732,-93.303,62103
Coppell,TX,32.9546,-97.015,40342
Coral Gables,FL,25.7215,-80.2684,49631
Coral Springs,FL,26.2712,-80.2706,126604
