# The 1,000 most populous US places, for offline location matching.
# Population and coordinates originate with the US Census Bureau (a US government
# work, public domain); assembled via plotly/datasets (MIT). Facts only.
# Coordinates rounded to 4dp (~11m) — far finer than metro-level matching needs.
city,state,lat,lon,population
Monterey Park,CA,34.0625,-118.1228,61085
Montgomery,AL,32.3668,-86.3,201332
Moore,OK,35.3395,-97.4867,58414
Moorhead,MN,46.8738,-96.7678,39398
Moreno Valley,CA,33.9425,-117.2297,201175
Morgan Hill,CA,37.1305,-121.6544,40836
Mount Pleasant,SC,32.8323,-79.8284,74885
Mount Prospect,IL,42.0664,-87.9373,54771
Mount Vernon,NY,40.9126,-73.8371,68224
Mountain View,CA,37.3861,-122.0839,77846
Muncie,IN,40.1934,-85.3864,70316
Murfreesboro,TN,35.8456,-86.3903,117044
Murray,UT,40.6669,-111.888,48612
Murrieta,CA,33.5539,-117.2139,107479
Muskegon,MI,43.2342,-86.2484,37213
Muskogee,OK,35.7479,-95.3697,38863
Nampa,ID,43.5407,-116.5635,86518
Napa,CA,38.2975,-122.2869,79068
Naperville,IL,41.7508,-88.1535,144864
Nashua,NH,42.7654,-71.4676,87137
Nashville,TN,36.1627,-86.7816,634464
National City,CA,32.6781,-117.0992,59834
New Bedford,MA,41.6362,-70.9342,95078
New Berlin,WI,42.9764,-88.1084,39834
New Braunfels,TX,29.703,-98.1245,63279
New Britain,CT,41.6612,-72.7795,72939
New Brunswick,NJ,40.4862,-74.4518,55831
New Haven,CT,41.3083,-72.9279,130660
New Orleans,LA,29.9511,-90.0715,378715
New Rochelle,NY,40.9115,-73.7824,79446
New York,NY,40.7128,-74.0059,8405837
Newark,CA,37.5297,-122.0402,44096
Newark,NJ,40.7357,-74.1724,278427
Newark,OH,40.0581,-82.4013,47777
Newport Beach,CA,33.6189,-117.9289,87273
Newport News,VA,37.0871,-76.473,182020
Newton,MA,42.337,-71.2092,87971
Niagara Falls,NY,43.0962,-79.0377,49468
Noblesville,IN,40.0456,-86.0086,56540
Norfolk,VA,36.8508,-76.2859,246139
Normal,IL,40.5142,-88.9906,54664
Norman,OK,35.2226,-97.4395,118197
North Charleston,SC,32.8546,-79.9748,104054
North Las Vegas,NV,36.1989,-115.1175,226877
North Lauderdale,FL,26.2173,-80.2259,42757
North Little Rock,AR,34.7695,-92.2671,66075
North Miami,FL,25.8901,-80.1867,61007
North Miami Beach,FL,25.9331,-80.1625,43250
North Port,FL,27.0442,-82.2359,59212
North Richland Hills,TX,32.8343,-97.2289,67317
Northglenn,CO,39.8962,-104.9811,37499
Norwalk,CA,33.9022,-118.0817,106589
Norwalk,CT,41.1177,-73.4082,87776
Norwich,CT,41.5243,-72.0759,40347
Novato,CA,38.1074,-122.5697,54194
Novi,MI,42.4806,-83.4755,57960
O'Fallon,MO,38.8106,-90.6998,82809
Oak Lawn,IL,41.72,-87.748,57073
Oak Park,IL,41.885,-87.7845,52066
Oakland,CA,37.8044,-122.2711,406253
Oakland Park,FL,26.1723,-80.132,43286
Oakley,CA,37.9974,-121.7125,38194
Ocala,FL,29.1872,-82.1401,57468
Oceanside,CA,33.1959,-117.3795,172794
Ocoee,FL,28.5692,-81.544,39172
Odessa,TX,31.8457,-102.3676,110720
Ogden,UT,41.223,-111.9738,84249
Oklahoma City,OK,35.4676,-97.5164,610613
Olathe,KS,38.8814,-94.8191,131885
Olympia,WA,47.0379,-122.9007,48338
Omaha,NE,41.2524,-95.998,434353
Ontario,CA,34.0633,-117.6509,167500
Orange,CA,33.7878,-117.8531,139969
Orem,UT,40.2969,-111.6946,91648
Orland Park,IL,41.6303,-87.8539,58590
Orlando,FL,28.5383,-81.3792,255483
Ormond Beach,FL,29.2858,-81.0559,38661
Oro Valley,AZ,32.3909,-110.9665,41627
Oshkosh,WI,44.0247,-88.5426,66778
Overland Park,KS,38.9822,-94.6708,181260
Owensboro,KY,37.7719,-87.1112,58416
Oxnard,CA,34.1975,-119.1771,203007
Pacifica,CA,37.6138,-122.4869,38606
Palatine,IL,42.1103,-88.0342,69350
Palm Bay,FL,28.0345,-80.5887,104898
Palm Beach Gardens,FL,26.8234,-80.1387,50699
Palm Coast,FL,29.5845,-81.2079,78740
Palm Desert,CA,33.7222,-116.3745,50508
Palm Springs,CA,33.8303,-116.5453,46281
Palmdale,CA,34.5794,-118.1165,157161
Palo Alto,CA,37.4419,-122.143,66642
Panama City,FL,30.1588,-85.6602,36877
Paramount,CA,33.8895,-118.1598,54980
Park Ridge,IL,42.0111,-87.8406,37839
Parker,CO,39.5186,-104.7614,48608
Parma,OH,41.4048,-81.7229,80429
Pasadena,CA,34.1478,-118.1445,139731
Pasadena,TX,29.6911,-95.2091,152735
Pasco,WA,46.2396,-119.1006,67599
Passaic,NJ,40.8568,-74.1285,70868
Paterson,NJ,40.9168,-74.1718,145948
Pawtucket,RI,41.8787,-71.3826,71172
Peabody,MA,42.5279,-70.9287,52044
Peachtree Corners,GA,33.9699,-84.2215,40059
Pearland,TX,29.5636,-95.286,100065
Pembroke Pines,FL,26.0078,-80.2963,162329
Pensacola,FL,30.4213,-87.2169,52703
Peoria,AZ,33.5806,-112.2374,162592
Peoria,IL,40.6936,-89.589,116513
Perris,CA,33.7825,-117.2286,72326
Perth Amboy,NJ,40.5068,-74.2654,51982
Petaluma,CA,38.2324,-122.6367,59440
Pflugerville,TX,30.4394,-97.62,53752
Pharr,TX,26.1948,-98.1836,73790
Phenix City,AL,32.471,-85.0008,37498
Philadelphia,PA,39.9526,-75.1652,1553165
Phoenix,AZ,33.4484,-112.074,1513367
Pico Rivera,CA,33.9831,-118.0967,63771
Pine Bluff,AR,34.2284,-92.0032,46094
Pinellas Park,FL,27.8428,-82.6995,49998
Pittsburg,CA,38.028,-121.8847,66695
Pittsburgh,PA,40.4406,-79.9959,305841
Pittsfield,MA,42.4501,-73.2454,44057
Placentia,CA,33.8722,-117.8703,52206
Plainfield,IL,41.6322,-88.212,41734
Plainfield,NJ,40.6337,-74.4074,50588
Plano,TX,33.0198,-96.6989,274409
Plantation,FL,26.1276,-80.2331,90268
Pleasanton,CA,37.6624,-121.8747,74110
Plymouth,MN,45.0105,-93.4555,73987
Pocatello,ID,42.8713,-112.4455,54350
Pomona,CA,34.0551,-117.75,151348
Pompano Beach,FL,26.2379,-80.1248,104410
Pontiac,MI,42.6389,-83.291,59887
Port Arthur,TX,29.885,-93.9399,54135
Port Orange,FL,29.1383,-80.9956,57203
Port St. Lucie,FL,27.273,-80.3582,171016
Portage,MI,42.2012,-85.58,47523
Porterville,CA,36.0652,-119.0168,55174
Portland,ME,43.6615,-70.2553,66318
Portland,OR,45.5231,-122.6765,609456
Portsmouth,VA,36.8354,-76.2983,96205
Poway,CA,32.9628,-117.0359,49417
Prescott,AZ,34.54,-112.4685,40590
Prescott Valley,AZ,34.61,-112.3157,39791
Providence,RI,41.824,-71.4128,177994
Provo,UT,40.2338,-111.6585,116288
Pueblo,CO,38.2544,-104.6091,108249
Puyallup,WA,47.1854,-122.2929,38609
Quincy,IL,39.9356,-91.4099,40915
Quincy,MA,42.2529,-71.0023,93494
Racine,WI,42.7261,-87.7829,78199
Raleigh,NC,35.7796,-78.6382,431746
Rancho Cordova,CA,38.5891,-121.3027,67911
Rancho Cucamonga,CA,34.1064,-117.5931,171386
Rancho Palos Verdes,CA,33.7445,-118.387,42448
Rancho Santa Margarita,CA,33.6409,-117.6031,49228
Rapid City,SD,44.0805,-103.231,70812
Reading,PA,40.3356,-75.9269,87893
Redding,CA,40.5865,-122.3917,91119
Redlands,CA,34.0556,-117.1825,69999
Redmond,WA,47.674,-122.1215,57530
Redondo Beach,CA,33.8492,-118.3884,67815
Redwood City,CA,37.4852,-122.2364,80872
Reno,NV,39.5296,-119.8138,233294
Renton,WA,47.4829,-122.2171,97003
Revere,MA,42.4084,-71.012,53756
Rialto,CA,34.1064,-117.3703,101910
Richardson,TX,32.9483,-96.7299,104475
Richland,WA,46.2857,-119.2845,52413
Richmond,CA,37.9358,-122.3477,107571
Richmond,VA,37.5407,-77.436,214114
Rio Rancho,NM,35.2328,-106.663,91956
Riverside,CA,33.9533,-117.3962,316619
Riverton,UT,40.5219,-111.9391,40921
Roanoke,VA,37.271,-79.9414,98465
Rochester,MN,44.0121,-92.4802,110742
Rochester,NY,43.161,-77.6109,210358
Rochester Hills,MI,42.6584,-83.1499,72952
Rock Hill,SC,34.9249,-81.0251,69103
Rock Island,IL,41.5095,-90.5787,38877
Rockford,IL,42.2711,-89.094,150251
Rocklin,CA,38.7907,-121.2358,59738
Rockville,MD,39.084,-77.1528,64072
Rockwall,TX,32.9312,-96.4597,40922
Rocky Mount,NC,35.9382,-77.7905,56954
Rogers,AR,36.332,-94.1185,60112
Rohnert Park,CA,38.3396,-122.7011,41398
Romeoville,IL,41.6475,-88.0895,39650
Rosemead,CA,34.0806,-118.0728,54561
Roseville,CA,38.7521,-121.288,127035
Roseville,MI,42.4973,-82.9371,47555
Roswell,GA,34.0232,-84.3616,94034
Roswell,NM,33.3943,-104.523,48611
Round Rock,TX,30.5083,-97.6789,109821
Rowlett,TX,32.9029,-96.5639,58043
Roy,UT,41.1616,-112.0263,37733
Royal Oak,MI,42.4895,-83.1446,58946
Sacramento,CA,38.5816,-121.4944,479686
Saginaw,MI,43.4195,-83.9508,50303
Salem,MA,42.5195,-70.8967,42544
Salem,OR,44.9429,-123.0351,160614
Salina,KS,38.8403,-97.6114,47846
Salinas,CA,36.6777,-121.6555,155662
Salt Lake City,UT,40.7608,-111.891,191180
Sammamish,WA,47.6163,-122.0356,50169
San Angelo,TX,31.4638,-100.437,97492
San Antonio,TX,29.4241,-98.4936,1409019
San Bernardino,CA,34.1083,-117.2898,213708
San Bruno,CA,37.6305,-122.4111,42443
San Buenaventura (Ventura),CA,34.2746,-119.229,108817
San Clemente,CA,33.427,-117.612,65040
San Diego,CA,32.7157,-117.1611,1355896
San Francisco,CA,37.7749,-122.4194,837442
San Gabriel,CA,34.0961,-118.1058,40275
San Jacinto,CA,33.7839,-116.9586,45851
San Jose,CA,37.3382,-121.8863,998537
San Leandro,CA,37.7249,-122.1561,87965
San Luis Obispo,CA,35.2828,-120.6596,46377
San Marcos,CA,33.1434,-117.1661,89387
San Marcos,TX,29.8833,-97.9414,54076
San Mateo,CA,37.563,-122.3255,101128
San Rafael,CA,37.9735,-122.5311,58994
San Ramon,CA,37.7799,-121.978,74513
Sandy,UT,40.565,-111.839,90231
Sandy Springs,GA,33.9304,-84.3733,99770
Sanford,FL,28.8029,-81.2695,56002
Santa Ana,CA,33.7456,-117.8678,334227
Santa Barbara,CA,34.4208,-119.6982,90412
Santa Clara,CA,37.3541,-121.9552,120245
Santa Clarita,CA,34.3917,-118.5426,179590
Santa Cruz,CA,36.9741,-122.0308,62864
Santa Fe,NM,35.687,-105.9378,69976
Santa Maria,CA,34.953,-120.4357,102216
Santa Monica,CA,34.0195,-118.4912,92472
Santa Rosa,CA,38.4404,-122.7141,171990
Santee,CA,32.8384,-116.9739,56105
Sarasota,FL,27.3364,-82.5307,53326
Savannah,GA,32.0835,-81.0998,142772
Sayreville,NJ,40.4594,-74.3608,44412
Schaumburg,IL,42.0334,-88.0834,74907
Schenectady,NY,42.8142,-73.9396,65902
Scottsdale,AZ,33.4942,-111.9261,226918
Scranton,PA,41.409,-75.6624,75806
Seattle,WA,47.6062,-122.3321,652405
Shakopee,MN,44.7974,-93.5273,39167
Shawnee,KS,39.0228,-94.7152,64323
Sheboygan,WI,43.7508,-87.7145,48725
Shelton,CT,41.3165,-73.0932,40999
Sherman,TX,33.6357,-96.6089,39296
Shoreline,WA,47.7557,-122.3415,54790
Shreveport,LA,32.5252,-93.7502,200327
Sierra Vista,AZ,31.5455,-110.2773,45129
Simi Valley,CA,34.2694,-118.7815,126181
Sioux City,IA,42.5,-96.4003,82459
Sioux Falls,SD,43.5446,-96.7311,164676
Skokie,IL,42.0324,-87.7416,65176
Smyrna,GA,33.884,-84.5144,53438
Smyrna,TN,35.9828,-86.5186,43060
Somerville,MA,42.3876,-71.0995,78804
South Bend,IN,41.6764,-86.252,100886
South Gate,CA,33.9547,-118.212,95677
South Jordan,UT,40.5622,-111.9297,59366
South San Francisco,CA,37.6547,-122.4077,66174
Southaven,MS,34.989,-90.0126,50997
Southfield,MI,42.4734,-83.2219,73006
Spanish Fork,UT,40.115,-111.6549,36956
Sparks,NV,39.5349,-119.7527,93282
Spartanburg,SC,34.9496,-81.932,37647
Spokane,WA,47.6588,-117.426,210721
Spokane Valley,WA,47.6732,-117.2394,91113
Springdale,AR,36.1867,-94.1288,75229
Springfield,IL,39.7817,-89.6501,117006
Springfield,MA,42.1015,-72.5898,153703
Springfield,MO,37.209,-93.2923,164122
Springfield,OH,39.9242,-83.8088,59357
Springfield,OR,44.0462,-123.022,60177
St. Charles,MO,38.7881,-90.4974,67569
St. Clair Shores,MI,42.4974,-82.8964,60070
St. Cloud,FL,28.2489,-81.2812,40918
St. Cloud,MN,45.5579,-94.1632,66297
St. George,UT,37.0965,-113.5684,76817
St. Joseph,MO,39.7675,-94.8467,77147
St. Louis,MO,38.627,-90.1994,318416
St. Louis Park,MN,44.9597,-93.3702,47411
St. Paul,MN,44.9537,-93.09,294873
St. Peters,MO,38.7875,-90.6299,54842
St. Petersburg,FL,27.7731,-82.64,249688
Stamford,CT,41.0534,-73.5387,126456
Stanton,CA,33.8025,-117.9931,38623
State College,PA,40.7934,-77.86,41757
Sterling Heights,MI,42.5803,-83.0302,131224
Stillwater,OK,36.1156,-97.0584,47186
Stockton,CA,37.9577,-121.2908,298118
Streamwood,IL,42.0256,-88.1784,40351
Strongsville,OH,41.3145,-81.8357,44730
Suffolk,VA,36.7282,-76.5836,85728
Sugar Land,TX,29.6197,-95.6349,83860
Summerville,SC,33.0185,-80.1756,46074
Sumter,SC,33.9204,-80.3415,41190
Sunnyvale,CA,37.3688,-122.0363,147559
Sunrise,FL,26.167,-80.2566,90116
Surprise,AZ,33.6292,-112.3679,123546
Syracuse,NY,43.0481,-76.1474,144669
Tacoma,WA,47.2529,-122.4443,203446
Tallahassee,FL,30.4383,-84.2807,186411
Tamarac,FL,26.2129,-80.2498,63155
Tampa,FL,27.9506,-82.4572,352957
Taunton,MA,41.9001,-71.0898,56069
Taylor,MI,42.2409,-83.2697,61817
Taylorsville,UT,40.6677,-111.9388,60519
Temecula,CA,33.4936,-117.1484,106780
Tempe,AZ,33.4255,-111.94,168228
Temple,TX,31.0982,-97.3428,70190
Terre Haute,IN,39.4667,-87.4139,61025
Texarkana,TX,33.4251,-94.0477,37442
Texas City,TX,29.3838,-94.9027,46081
The Colony,TX,33.0806,-96.8928,39458
Thornton,CO,39.868,-104.9719,127359
Thousand Oaks,CA,34.1706,-118.8376,128731
Tigard,OR,45.4312,-122.7715,50444
Tinley Park,IL,41.5731,-87.7933,57282
Titusville,FL,28.6122,-80.8076,44206
Toledo,OH,41.6639,-83.5552,282313
Topeka,KS,39.0558,-95.689,127679
Torrance,CA,33.8358,-118.3406,147478
Tracy,CA,37.7397,-121.4252,84691
Trenton,NJ,40.2171,-74.7429,84349
Troy,MI,42.6064,-83.1498,82821
Troy,NY,42.7284,-73.6918,49974
Tucson,AZ,32.2217,-110.9265,526116
Tulare,CA,36.2077,-119.3473,61170
Tulsa,OK,36.154,-95.9928,398121
Turlock,CA,37.4947,-120.8466,70365
Tuscaloosa,AL,33.2098,-87.5692,95334
Tustin,CA,33.7459,-117.8262,78327
Twin Falls,ID,42.563,-114.4609,45981
Tyler,TX,32.3513,-95.3011,100223
Union City,CA,37.5934,-122.0438,72528
Union City,NJ,40.6976,-74.2632,68247
Upland,CA,34.0975,-117.6484,75413
Urbana,IL,40.1106,-88.2073,41752
Urbandale,IA,41.6267,-93.7122,41776
Utica,NY,43.1009,-75.2327,61808
Vacaville,CA,38.3566,-121.9877,94275
Valdosta,GA,30.8327,-83.2785,56481
Vallejo,CA,38.1041,-122.2566,118837
Valley Stream,NY,40.6643,-73.7085,37659
Vancouver,WA,45.6387,-122.6615,167405
Victoria,TX,28.8053,-97.0036,65098
Victorville,CA,34.5362,-117.2928,121096
Vineland,NJ,39.4864,-75.026,61050
Virginia Beach,VA,36.8529,-75.978,448479
Visalia,CA,36.3302,-119.2921,127763
Vista,CA,33.2,-117.2425,96929
Waco,TX,31.5493,-97.1467,129030
Walnut Creek,CA,37.9101,-122.0652,66900
Waltham,MA,42.3765,-71.2356,62227
Warner Robins,GA,32.613,-83.6242,72531
Warren,MI,42.5145,-83.0147,134873
Warren,OH,41.2376,-80.8184,40768
Warwick,RI,41.7001,-71.4162,81971
Washington,DC,38.9072,-77.0369,646449
Waterbury,CT,41.5582,-73.0515,109676
Waterloo,IA,42.4928,-92.3426,68366
Watsonville,CA,36.9102,-121.7569,52477
Waukegan,IL,42.3636,-87.8448,88826
Waukesha,WI,43.0117,-88.2315,71016
Wausau,WI,44.9591,-89.6301,39309
Wauwatosa,WI,43.0495,-88.0076,47134
Wellington,FL,26.6618,-80.2684,60202
Weslaco,TX,26.1595,-97.9908,37093
West Allis,WI,43.0167,-88.007,60697
West Covina,CA,34.0686,-117.939,107740
West Des Moines,IA,41.5772,-93.7113,61255
West Haven,CT,41.2705,-72.947,55046
West Jordan,UT,40.6097,-111.9391,110077
West New York,NJ,40.7879,-74.0143,52122
West Palm Beach,FL,26.7153,-80.0534,102436
West Sacramento,CA,38.5805,-121.5302,49891
West Valley City,UT,40.6916,-112.0011,133579
Westerville,OH,40.1262,-82.9291,37530
Westfield,MA,42.1251,-72.7495,41301
Westland,MI,42.3242,-83.4002,82578
Westminster,CA,33.7513,-117.994,91739
Westminster,CO,39.8367,-105.0372,110945
Weston,FL,26.1004,-80.3998,68388
Weymouth Town,MA,42.2181,-70.941,55419
Wheaton,IL,41.8661,-88.107,53648
Wheeling,IL,42.1392,-87.929,38015
White Plains,NY,41.034,-73.7629,57866
Whittier,CA,33.9792,-118.0328,86635
Wichita,KS,37.6889,-97.3361,386552
Wichita Falls,TX,33.9137,-98.4934,104898
Wilkes-Barre,PA,41.2459,-75.8813,41108
Wilmington,DE,39.7391,-75.5398,71525
Wilmington,NC,34.2257,-77.9447,112067
Wilson,NC,35.7213,-77.9155,49628
Winston-Salem,NC,36.0999,-80.2442,236441
Winter Garden,FL,28.5653,-81.5862,37711
Woburn,MA,42.4793,-71.1523,39083
Woodbury,MN,44.9239,-92.9594,65656
Woodland,CA,38.6785,-121.7733,56590
Woonsocket,RI,42.0029,-71.5148,41026
Worcester,MA,42.2626,-71.8023,182544
Wylie,TX,33.0151,-96.5389,44575
Wyoming,MI,42.9134,-85.7053,74100
Yakima,WA,46.6021,-120.5059,93257
Yonkers,NY,40.9312,-73.8987,199766
Yorba Linda,CA,33.8886,-117.8131,67032
York,PA,39.9626,-76.7277,43935
Youngstown,OH,41.0998,-80.6495,65184
Yuba City,CA,39.1404,-121.6169,65416
Yucaipa,CA,34.0336,-117.0431,52536
Yuma,AZ,32.6927,-114.6277,91923
